label,track_name,artists,popularity,duration,explicit,track_genre
5,Accendio,IVE,62,192013,False,k-pop
5,All The Small Things,blink-182,82,167066,False,pop punk
5,Another Innocent Girl,Alkaline Trio,35,217773,True,pop punk
5,Another Travelin' Song,Bright Eyes,41,256242,False,indie folk
5,At the Bottom of Everything,Bright Eyes,50,273886,False,indie folk
5,AVOCADO (feat. Gliiico),CHAEYOUNG,60,141078,False,
5,"Blood, Hair, And Eyeballs",Alkaline Trio,41,180573,True,pop punk
5,Bubble Pop!,HyunA,54,212244,False,k-pop
5,California,Grimes,47,198337,False,art pop
5,The Calendar Hung Itself…,Bright Eyes,36,236013,False,indie folk
5,Calling All Skeletons,Alkaline Trio,27,211053,False,pop punk
5,Clavicle,Alkaline Trio,22,158960,False,pop punk
5,Close to Me,The Get Up Kids,35,204506,False,midwest emo
5,Cop,Alkaline Trio,20,138666,False,pop punk
5,the cost of giving up,Poppy,65,197849,False,
5,Cringe,Alkaline Trio,24,144186,False,pop punk
5,Deceptacon,Le Tigre,56,184680,True,riot grrrl
5,Dejalo,Rilo Kiley,22,196533,False,indie pop
5,"Dine, Dine My Darling - Acoustic",Alkaline Trio,16,179586,False,pop punk
5,Does He Love You?,Rilo Kiley,38,313400,False,indie pop
5,Down,blink-182,56,183786,False,pop punk
5,Every Thug Needs A Lady,Alkaline Trio,29,221960,False,pop punk
5,Extras,Molly Daisy Scarpine,51,338709,False,
5,Genie,Girls' Generation,53,230546,False,k-pop
5,Gee,Girls' Generation,54,202200,False,k-pop
5,Flesh without Blood,Grimes,55,264523,False,art pop
5,Forever For Her (Is Over For Me),The White Stripes,36,195466,False,garage rock
5,Franco Un-American,NOFX,50,145466,False,punk
5,Friday I'm in Love,The Cure,71,214400,False,new wave
5,from me to u (feat. Poppy),BABYMETAL,61,204526,True,j-rock
5,Get Rid of That Girl,The Donnas,23,100666,False,riot grrrl
5,Ghost of Chicago,Noah Floersch,55,187100,False,
5,The Ghost of You,My Chemical Romance,75,194253,False,emo
5,Good Fucking Bye,Matt Skiba,40,152066,False,
5,Harness Your Hopes,Lavalove,17,206998,False,
5,Heart Attack,AOA,56,196522,False,k-pop
5,Heart Attack (츄),LOONA,61,194941,False,k-pop
5,Helena,My Chemical Romance,80,204733,False,emo
5,Hi High,LOONA,48,196863,False,k-pop
5,"Holland, 1945",Neutral Milk Hotel,60,192533,False,anti-folk
5,"Honey, This Mirror Isn't Big Enough for the Two of Us",My Chemical Romance,63,231096,True,emo
5,Hotel Yorba,The White Stripes,51,130333,False,garage rock
5,I / Me / Myself,Will Wood,59,291715,True,
5,I Just Threw Out The Love Of My Dreams,Weezer,72,157960,False,alternative rock
5,I Just,Red Velvet,44,188304,False,k-pop
5,I Really Want to Stay at Your House,Rosa Walton,78,246652,False,
5,I THINK,"Tyler, The Creator",74,212016,True,
5,I'm so sick,Apink,54,199402,False,k-pop
5,Iine!,BABYMETAL,48,248146,False,j-rock
5,I'm The One,Descendents,53,135133,False,punk
5,In Hell,Japanese Breakfast,42,158358,False,
5,Impurities,LE SSERAFIM,61,196365,False,k-pop
5,In the Aeroplane Over the Sea,Neutral Milk Hotel,67,202346,False,anti-folk
5,Into the New World,Girls' Generation,64,265760,False,k-pop
5,Into You,Ariana Grande,77,244453,False,pop
5,It Ain't Me Babe,New Found Glory,29,167946,False,pop punk
5,Jet Black,Jawbreaker,36,313933,False,emo
5,The Jetset Life Is Gonna Kill You,My Chemical Romance,63,217733,False,emo
5,KICK BACK,Kenshi Yonezu,76,193495,False,j-pop
5,Kill V. Maim,Grimes,62,246006,False,art pop
5,King of Carrot Flowers Pt. 1,Neutral Milk Hotel,59,120426,False,anti-folk
5,Kingdom Come,Red Velvet,54,210162,False,k-pop
5,Kingslayer (feat. BABYMETAL),Bring Me The Horizon,76,220041,True,metalcore
5,Last Call Casualty,Bowling For Soup,35,211893,False,pop punk
5,Let Me Carve Your Way,NAOKI,43,360356,False,
5,Crush,Weki Meki,44,196179,False,k-pop
5,Linoleum,NOFX,58,130266,False,punk
5,Line Without a Hook,Ricky Montgomery,81,249586,False,
5,Lola,The Raincoats,44,243506,False,riot grrrl
5,Love the Subhuman Self,AISHA,52,308964,False,
5,Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae,77,147973,False,french pop
5,Mercy Me,Alkaline Trio,25,182466,False,pop punk
5,Mr.Mr.,Girls' Generation,59,235434,False,k-pop
5,My Hometown - Dirty,Bowling For Soup,32,182200,True,pop punk
5,My Queen (feat. Spiritbox),BABYMETAL,59,200698,True,j-rock
5,My Ordinary Life,The Living Tombstone,73,230893,False,
5,My Standard Break from Life,Alkaline Trio,35,154080,False,pop punk
5,My Radio Is Telling Me To Kill (The Guys On My Radio),Boris the Sprinkler,4,166000,False,ska punk
5,Never Be the Same,Camila Cabello,79,226986,False,
5,NEW MAGIC WAND,"Tyler, The Creator",78,195327,True,
5,Nose Over Tail,Alkaline Trio,23,162000,False,pop punk
5,No Eyed Girl,Lemon Demon,38,260168,False,
5,Olde English 800,Alkaline Trio,22,97413,False,pop punk
5,"Love Love, Kiss Kiss",Alkaline Trio,36,205240,False,pop punk
5,Old Soul Song (for the New World Order),Bright Eyes,42,269160,False,indie folk
5,Pharmacist,Alvvays,43,124130,False,dream pop
5,Pet Sematary,Starcrawler,40,203240,False,riot grrrl
5,Pin,Grimes,49,212439,False,art pop
5,The Places You Have Come to Fear the Most,Dashboard Confessional,39,174493,False,emo
5,Portions for Foxes,Rilo Kiley,51,284640,False,indie pop
5,Private Eye,Alkaline Trio,21,227360,False,pop punk
5,Punk Rock Academy,Atom And His Package,21,134800,False,folk punk
5,Punk Rock Girl,The Dead Milkmen,47,158333,False,punk
5,Radio,Alkaline Trio,54,281040,False,pop punk
4,Lover I Don't Have to Love,Bright Eyes,46,239800,False,indie folk
4,Beachboy,McCafferty,66,199341,True,midwest emo
4,Bottom,McCafferty,68,225019,True,midwest emo
4,I Held Her In My Arms,Alkaline Trio,20,163920,False,pop punk
4,Perfection Can't Please Me,AISHA,42,304440,False,
4,Drift,NAOKI,48,346680,False,
4,"break up with your girlfriend, i'm bored",Ariana Grande,76,190440,True,pop
4,Literal Legend,Ayesha Erotica,69,164728,True,hyperpop
