label,track_name,artist,popularity,duration,explicit,track_genre
5,Non-Stop,Leslie Odom Jr.,74,385438,False,musicals
5,History Has Its Eyes on You,Christopher Jackson,68,97050,False,musicals
5,Hungover in Jonestown,Amigo the Devil,47,202986,False,southern gothic
5,Like Him (feat. Lola Young),"Tyler, The Creator",86,278014,True,
5,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",78,197019,True,
5,To Ashes and Blood (from the series Arcane League of Legends),Arcane,70,245626,False,
5,Ma Meilleure Ennemie (from the series Arcane League of Legends),Arcane,77,147973,False,
5,Rapp Snitch Knishes,MF DOOM,75,172893,True,experimental hip hop
5,Lovers Rock,TV Girl,88,213920,False,
5,Let Down,Radiohead,90,299560,False,art rock
5,The Dripping Tap,King Gizzard & The Lizard Wizard,3,1097013,False,neo-psychedelic
5,Magenta Mountain,King Gizzard & The Lizard Wizard,5,364599,False,neo-psychedelic
5,Worlds Collide (Inspired by Arcane League of Legends),JVKE,55,182173,False,
5,Stephanie,Nafeesisboujee,82,126969,True,
5,The Line (from the series Arcane League of Legends),Arcane,77,192000,False,
5,heart pt. 6,Kendrick Lamar,73,292461,True,hip hop
5,gloria (with sza),Kendrick Lamar,71,287522,True,hip hop
5,luther (with sza),Kendrick Lamar,84,177598,False,hip hop
5,reincarnated,Kendrick Lamar,72,275740,True,hip hop
5,BEST INTEREST,"Tyler, The Creator",76,127921,True,
5,Hoe Cakes,MF DOOM,74,234146,True,experimental hip hop
5,One Beer,MF DOOM,72,258586,True,experimental hip hop
5,Deep Fried Frenz,MF DOOM,58,299626,True,experimental hip hop
5,Guinnessez,MF DOOM,52,281720,True,experimental hip hop
5,Kon Queso,MF DOOM,57,240266,True,experimental hip hop
5,From The Start,Laufey,88,169573,False,
5,The King and Eye,CZARFACE,37,146626,True,
5,Above The Chinese Restaurant,Laufey,53,223173,False,
5,Everything I Know About Love,Laufey,52,209706,False,
5,All Caps,Madvillain,70,130479,True,experimental hip hop
5,Dreamer,Laufey,56,210826,False,
5,Second Best,Laufey,55,204813,False,
5,Haunted,Laufey,53,200626,False,
5,Must Be Love,Laufey,52,184960,False,
5,While You Were Sleeping,Laufey,53,177493,False,
5,Lovesick,Laufey,54,225360,False,
5,California and Me,Laufey,52,216306,False,
5,Nocturne (Interlude),Laufey,50,144066,False,
5,Promise,Laufey,58,234266,False,
5,From The Start,Laufey,55,169573,False,
5,Misty,Laufey,51,209800,False,
5,Serendipity,Laufey,51,219906,False,
5,Letter To My 13 Year Old Self,Laufey,54,262680,False,
5,Bewitched,Laufey,53,246693,False,
5,Bored,Laufey,71,213213,False,
5,Trouble,Laufey,61,171760,False,
5,It Could Happen To You,Laufey,60,127853,False,
5,Goddess,Laufey,66,267866,True,
5,Tough Luck,Laufey,51,192866,True,
5,Lover Girl,Laufey,78,164400,False,
5,Taking What's Not Yours,TV Girl,80,205650,False,
5,My Way Of Life,Frank Sinatra,68,187360,False,christmas
5,undressed,sombr,84,182088,False,
5,back to friends,sombr,93,199032,False,
5,Somethin' Stupid,Frank Sinatra,79,162493,False,christmas
5,Clementine,grentperez,63,245400,False,
5,Betty,AJR,58,163666,True,
